Наименование,Артикл,Описание,Цена
"Велосипед Stels Miss 5000 V 26"" V040",3504-02,"26"", STELS, 040, 21-ск, Горные, низкая рама, 17, сталь, V-типа, (РОЗОВЫЙ), Lady..",12330
Велосипед Stels Miss 5100 MD V030,3402-02,"21-ск., рама ALLOY (15""/17""), тормоза дисковые, вилка аморт. с ходом 60 мм, передн.перекл. SHIMANO T..",14730
Велосипед Stels Miss 5300 MD V030,3403-02,"21-ск, рама AL (16""/18"") аморт.вилка STEEL, ход 80мм, SHIMANO ST-EF500/FD-M310/RD-TY300/CS-HG20, дво..",15880
"Велосипед Stels Miss 6000 MD 26"" V010",3517-02,"26"", STELS, 010, 21-ск, Горные, низкая рама, 17, алюминий, Disc механические, (РОЗОВЫЙ), Lady..",18240
Велосипед Stels Miss 6000 V V030,3559-02,"18-ск., рама ALLOY (15""/17""), тормоза POWER V-образн., вилка аморт. с ходом 60 мм, передн.перекл. SH..",15280
"Велосипед Stels Miss 6100 D 26"" V010",3532-02,"21-ск., рама AL (15""/17""/19""), аморт.вилка STEEL/AL с ходом 60 мм, передний перекл. SHIMANO Tourney ..",22050
"Велосипед Stels Miss 6100 MD 26""",3566-02,"26"", STELS, 010, 21-ск, 17, алюминий, Disc гидравлические, (СЕРЫЙ)..",22050
"Велосипед Stels Miss 6100 V 26""",3404-02,"21-ск., рама AL (15.5""/17.5""/19.5""), аморт. вилка SR SUNTOUR XCT, SHIMANO ST-EF51/FD-TY10/RD-TX35/MF..",16800
Велосипед Stels Miss 6300 MD,3405-02,"24-ск, рама AL (15""/17"") аморт.вилка STEEL, ход 60мм, SHIMANO ST-EF51/FD-TY500/RD-TX800/CS-HG20, дво..",20590
Велосипед Stels Miss 6300 V,3488-02,"21-ск., рама AL (15.5""/17.5""/19.5""), аморт.вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-..",19100
Велосипед Stels Miss 6500 V,3406-02,"21-ск., рама AL (15.5""/17.5""/19.5""), аморт.вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-..",17070
Велосипед Stels Miss 8100 V,3407-02,"24-ск., рама AL (17""/18.5""), аморт. вилка XCM SR SUNTOUR, SHIMANO ST-M310/FD-TY500/RD-M360/CS-HG31, ..",20350
Велосипед Stels Miss 8500 V,3408-02,"26"", STELS, 2016, 21-ск, Горные, высокая рама, 17,5, алюминий, V-типа, (БЕЛЫЙ/ПУРПУРНЫЙ), Lady..",24810
Велосипед Stels Miss 8700 V,3409-02,"21-ск., рама AL (15.7""/17.7""), аморт. вилка NEX SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/CS-HG20,..",22850
Велосипед Stels Miss 8900 MD,3410-02,"24-ск., рама AL (15.7""/17.7""), аморт. вилка Neon RST, SHIMANO SL-M360/FD-TX51/RD-T4000/CS-HG41, двой..",30920
Велосипед Stels Mustang V V020,3411-02,"21-ск., рама STEEL (16""), тормоза POWER V-образн., вилка аморт. с ходом 40 мм, передн.перекл. POWER ..",12540
Велосипед Stels Mustang V V030,3565-02,"21-ск., рама STEEL (16""), тормоза POWER V-образн., вилка аморт. с ходом 40 мм, передн.перекл. POWER ..",12330
Велосипед Stels Navigator 210,3471-02,"26"", STELS, 010, 1-ск, дорожный, 19, сталь, ножной задний , (ЧЕРНЫЙ), Gent..",7390
Велосипед Stels Navigator 210 Lady,3484-02,"1-ск, paмa STEEL (19""), вилка жёсткая STEEL, задн. ножной тормоз, двойной AL обод, седло CIONLLI, по..",7390
